name,rating,reviews,phone,email,email_source,address,website,maps_url,reason,place_id
King Studios Detailing,5,71,07932 306633,,,"430 Burdett Rd, London E3 4JS, UK",https://www.instagram.com/kingstudiios/?hl=en,https://maps.google.com/?cid=8410835298874492487&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,low_effort_domain:www.instagram.com,ChIJY6jzm8-72EcRRwa7TSRKuXQ
Xclusive valeting detailing hand car wash,4.7,70,07949 999818,,,"2-6 Portman Pl, Bethnal Green, London E2 0LQ, UK",,https://maps.google.com/?cid=6818029760615445612&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,missing_website,ChIJT8zIsrIddkgRbHSGnfGBnl4
Limehouse hand car wash & detailing centre,4.5,263,07459 764193,,,"571 Butcher Row, London E1W 3EP, UK",,https://maps.google.com/?cid=11270063347109660869&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,missing_website,ChIJ5TrX3hYDdkgRxQifIOdOZ5w
CHUBZ.DETAILZ,5,23,07760 149571,,,"Findhorn St, Aberfeldy Village, London E14 0PX, UK",,https://maps.google.com/?cid=10856151937064419283&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,missing_website,ChIJo7tEmzcDdkgR079kHKvMqJY
