name,rating,reviews,phone,email,email_source,address,website,maps_url,reason,place_id
Nails by Natalie,5,27,07436 371777,,,"2a Amersham Vale, London SE14 6LD, UK",,https://maps.google.com/?cid=16477535118923829165&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,missing_website,ChIJB0lfJe4DdkgRrY96keP2q-Q
Your Nail Crush Soho,5,330,07915 743972,,,"Inside Vaisu Beauty, 10/11 Archer St, London W1D 7AZ, UK",https://linktr.ee/yournailcrush,https://maps.google.com/?cid=17742616651173091988&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,low_effort_domain:linktr.ee,ChIJv3okW9kFdkgRlFoa_9ZvOvY
Deptford Nails,4.4,250,020 8692 9727,,,"116 Deptford High St, London SE8 4NS, UK",https://www.instagram.com/deptfordnailsandbeauty/?hl=en,https://maps.google.com/?cid=4546667373016789071&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,low_effort_domain:www.instagram.com,ChIJA3v0ffMCdkgRTzCG8OIBGT8
