name,rating,reviews,phone,email,email_source,address,website,maps_url,reason,place_id
KEBAB HOUSE,4.8,44,07424 980510,,,"339 New Cross Rd, London SE14 6AT, UK",,https://maps.google.com/?cid=15535275383214157340&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,missing_website,ChIJP9aJB5wDdkgRHK5Z0KZimNc
Uncle Wrinkle,4.7,211,020 8691 7952,,,"Batavia Mews, 299 New Cross Rd, London SE14 6AS, UK",,https://maps.google.com/?cid=8282908367173530175&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,missing_website,ChIJNWXTAfkCdkgRPzJ9dEbN8nI
ANTHONY’S GRILL LTD,5,48,07466 628526,,,"Unit 9- 10, 149 New Cross Rd, London SE14 5DJ, UK",,https://maps.google.com/?cid=5620429271460196527&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,missing_website,ChIJvz52ArIDdkgRr7CX4qTG_00
Rose's Kitchen,4.3,136,020 8691 1492,,,"8 Clifton Rise, London SE14 6JP, UK",,https://maps.google.com/?cid=5818628311837592741&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,missing_website,ChIJ46Vwt_kCdkgRpUwcB5_rv1A
Bola Cuisine,4.5,27,020 8469 4114,,,"328 New Cross Rd, London SE14 6AG, UK",,https://maps.google.com/?cid=16949419318898558748&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,missing_website,ChIJ9ww3dvcCdkgRHIcXlBFvOOs
